growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.61,4.6142,0.32087,1.184068891,0.287873336,-1.170212766,22,0.24884465,0.035893754,0.107758621,36.22414145,0.065039208,0.079,-0.068386781,0.391959851,-0.118873446,0.151057402,0.045795933,-1,27.87,FOSL  ,9/6/2016 10:00,9/6/2016 10:18,27.69
0.76,4.0904,0.15958,2.077431539,0.66539924,-0.094339623,30,1.145038168,0.094517958,0.189393939,42.9165907,-0.020151065,0.024,-0.033473494,0.690679872,-0.324615947,0.357781753,0.068851556,1,10.59,FCX   ,9/6/2016 10:57,9/6/2016 11:27,10.67
1.04,3.2818,0.54613,1.292850147,4.460814406,-0.738868365,52,-3.108515448,0.019592476,0.13744355,38.34038713,-0.141990859,0.14,0.081998162,-0.200070031,-0.018288222,0.050301811,0.376388506,-1,51.05,HES   ,9/6/2016 12:02,9/6/2016 12:18,50.7
1.33,1.3255,0.43241,2.700049092,3.348554033,2.361809045,167,0.403632694,0.049115914,0.073782587,34.86383211,-0.031998969,0.031,-0.012497104,0.083168888,-0.013716167,0.08230829,0.38097861,1,20.37,ENDP  ,9/6/2016 13:20,9/6/2016 15:53,20.48
2.16,2.0244,0.39228,2.156566746,1.990542175,1.990542175,177,0.198347107,0.032358969,0.043210543,31.65936958,-0.174055967,0.176,-0.006021162,0.06360017,-0.027432334,0.096039513,0.367208299,-1,92.74,PRGO  ,9/6/2016 13:29,9/6/2016 15:07,92.2401
0.63,0.9333,0.35884,1.502865175,0.729688521,-0.505593804,112,0.627841524,0.043266631,0.027075324,31.13204018,-0.057739235,0.112,-0.025611591,0.631430498,-0.057150695,0.125803426,0.337372625,0,92.49,WYNN  ,9/6/2016 13:36,9/6/2016 15:59,92.69
1.04,1.2079,0.50751,1.065891473,2.457185406,2.051915946,143,-0.049419323,0.024230676,0.072833212,25.37883287,-0.063300117,0.063,0.011279009,0.659537343,0,0.068580834,0.394748921,1,41.28,RRC   ,9/6/2016 14:43,9/6/2016 15:51,41.52
0.57,0.4425,0.18057,0.664206642,0.221893491,-0.586940572,214,-0.243961942,0.024606299,0,37.16432608,-0.003996311,0.012,0.011279009,0.596823154,0,0.068580834,0.394748921,0,40.65,HIG   ,9/6/2016 14:43,9/6/2016 15:59,40.71
0.71,3.8798,0.27324,1.061650214,4.010073615,4.010073615,30,0.938599922,0.037264766,0.186846039,47.17648355,0.056226806,0.113,0.013997334,0.716577808,0.127947359,0.045637094,0.19662536,1,53.69,UAL   ,9/7/2016 10:33,9/7/2016 10:38,53.97
1.36,2.7353,0.47207,1.358277806,0.179717587,-0.535304614,82,0.770613922,0.025634453,0.038505968,26.55131651,-0.011241706,0.068,-0.064359595,0.684425843,-0.095960519,0.269862324,0.02287492,1,39.02,UA    ,9/7/2016 11:19,9/7/2016 12:44,39.22
