growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.74,4.2578,0.04474,0.736401674,0.724881996,-0.06690082,28,-0.697558545,0.016739203,0.134250713,38.20772655,0.067479998,0.147,0.042031548,0.889548993,0.355425465,0.104166667,0.449931987,-1,59.75,SLB   ,9/7/2018 10:18,9/7/2018 12:09,59.44
0.72,2.5308,0.27698,0.745897563,1.437578815,0,47,-1.009106571,0.024869435,0.04982561,32.28334748,-0.022287912,0.078,0.015491222,0.844463711,0.487838874,0.031208822,0.582470092,1,40.22,DVN   ,9/7/2018 11:16,9/7/2018 14:29,40.47
0.56,1.2185,0.29107,0.730854782,0.366767661,0.222929936,76,-0.443880786,0.031786395,0.063684127,20.90420182,-0.109504006,0.101,-0.006011477,0.054636787,0.466931493,0.052025527,0.561543023,-1,62.94,TSN   ,9/7/2018 11:18,9/7/2018 12:41,62.59
0.79,1.4145,0.27419,0.787250384,1.145853564,1.008533747,93,0.213799806,0.067249496,0.02884338,33.51252446,-0.014943504,0.058,0.012139921,0.703806319,0.47390062,0.045085663,0.568518712,-1,104.16,CBOE  ,9/7/2018 11:33,9/7/2018 13:07,103.62
0.54,2.6536,0.089,0.537897311,3.126575895,1.690701144,33,-1.227897839,0.048923679,0.098039216,40.36075051,-0.018046454,0.03,-0.087472282,0.938540719,0.43208586,0.166539449,0.526664574,-1,20.45,MRO   ,9/7/2018 11:56,9/7/2018 12:09,20.3
0.57,2.7247,0.20427,1.372168285,0.848563969,0,34,-1.012301384,0.038850039,0.103815209,34.76571387,0.012398899,0.119,-0.09695174,0.2796066,0.418147606,0.180442779,0.512713195,-1,77.25,XLNX  ,9/7/2018 11:59,9/7/2018 12:08,76.7
1.57,1.5677,0.81344,1.566856991,2.434711643,1.77027027,166,-1.50405963,0.039851222,0.199840128,25.63052834,-0.150807088,0.206,-0.134456898,0.731464113,0.073175831,0.525784324,0.167416553,-1,75.31,QRVO  ,9/7/2018 12:28,9/7/2018 12:43,74.79
1.6,4.2965,0.70135,2.837395417,2.574626866,1.928068224,62,-3.125,0.036390102,0.21905805,33.09373314,-0.020864634,0.059,-0.032723652,0.85786916,0.062722141,0.536286391,0.156953019,1,27.49,AMD   ,9/7/2018 13:44,9/7/2018 14:11,27.64
0.74,2.4667,0.28545,1.878218722,3.15625,3.064228368,50,3.810714451,0.025972902,0.052020114,34.19902291,-0.474236247,0.462,-0.005453721,0.667817945,0.094083211,0.504786771,0.188343622,-1,231.07,AVGO  ,9/7/2018 13:56,9/7/2018 14:04,229.78
0.82,4.8839,0.08821,2.515035539,1.856320772,-2.418637738,28,0.303246522,0.036463081,0.182848784,40.46715046,0.193998328,0.182,0.032292003,-0.149629447,-0.232026596,0.329758062,0.072947061,1,54.87,CBS   ,9/10/2018 13:19,9/10/2018 14:12,55.15
0.78,2.348,0.37297,0.792000792,0.447494033,0.042918455,55,-0.342172797,0.089179548,0.026442784,24.30355129,-0.213989989,0.402,-0.045809156,0.652075247,0.226189233,0.12499132,0.365891905,1,303.03,NOC   ,9/11/2018 10:44,9/11/2018 13:39,304.65
0.67,1.5255,0.23057,0.678952473,0.501322936,0.45935412,73,-0.663716814,0.013858093,0.013877324,29.23320082,-0.002870396,0.046,-0.010024924,0.704708422,0.65420886,0.103716508,0.794508137,1,72.17,QCOM  ,9/11/2018 12:50,9/11/2018 15:43,72.55
0.53,1.1502,0.27186,0.534709193,1.620591039,0.46178494,76,-0.720434132,0.037537538,0.03758692,31.63322648,-0.242969677,0.217,0.033527702,0.874548481,0.709886209,0.048374279,0.850263094,-1,106.6,LYB   ,9/11/2018 13:02,9/11/2018 15:23,106.06
0.59,4.1201,0.02372,0.729927007,1.247113164,0.781609195,23,-0.503202196,0.04564126,0.091449474,40.97617195,0.03679843,0.036,-0.040095954,-0.053241991,0.633329853,0.124485632,0.773600028,-1,21.92,COG   ,9/11/2018 13:30,9/11/2018 13:58,21.81
